artist_id,artist_name,followers
0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,10202644.0
3NH8t45zOTqzlZgBvZRjvB,PNL,10196267.0
2IMZYfNi21MGqxopj9fWx8,Rels B,10153015.0
6YVMFz59CuY7ngCxTxjpxE,aespa,10120652.0
5H4yInM5zmHqpKIoMNAx4r,Central Cee,10118749.0
1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,10071896.0
2Wk167T0fY1fABsHM5qFcI,Sherine,10064531.0
3tVQdUvClmAT7URs9V3rsp,Wizkid,10033920.0
2x7PC78TmgqpEIjaGAZ0Oz,Trueno,10012261.0
5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,10010253.0
74XFHRwlV6OrjEM0A2NCMF,Paramore,9985744.0
3RNrq3jvMZxD9ZyoOZbQOD,Korn,9982031.0
5wJ1H6ud777odtZl5gG507,Vishal Mishra,9976827.0
1oH2B8tcHn4Gpl2bmmyd4A,La Santa Grifa,9974082.0
1mX1TWKpNxDSAH16LgDfiR,Jesse & Joy,9956237.0
45TgXXqMDdF8BkjA83OM7z,Rod Wave,9933520.0
5INjqkS1o8h1imAzPqGZBb,Tame Impala,9904396.0
45dkTj5sMRSjrmBSBeiHym,Tate McRae,9889104.0
5vV3bFXnN6D6N3Nj4xRvaV,Jin,9875715.0
6Q192DXotxtaysaqNPy5yR,Amy Winehouse,9842449.0
0vR2qb8m9WHeZ5ByCbimq2,Reik,9842397.0
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,9824744.0
5ZS223C6JyBfXasXxrRqOk,Jhené Aiko,9777835.0
29CQLw9uLWsl8Qkz9holfr,Racionais MC's,9777114.0
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,9773372.0
0kPb52ySN2k9P6wEZPTUzm,Tiara Andini,9759821.0
2CKOmarVWvWqkNWUatHCex,Ana Castela,9744043.0
19HM5j0ULGSmEoRcrSe5x3,Milo j,9703335.0
64tJ2EAv1R6UaZqc4iOCyj,YOASOBI,9686386.0
6nVcHLIgY5pE2YCl8ubca1,JHAYCO,9658627.0
5xd2Tg7Zo8755eCy8Gxkp8,Ha*Ash,9647956.0
0pePYDrJGk8gqMRbXrLJC8,Luis R Conriquez,9572356.0
1LZEQNv7sE11VDY3SdxQeN,Bee Gees,9527290.0
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,9477707.0
0BvkDsjIUla7X0k6CSWh1I,Luke Bryan,9476629.0
1TA5sGRlKUJXBN4ZyJuDIX,Blessd,9461281.0
6FBDaR13swtiWwGhX1WQsP,blink-182,9418120.0
1JbemQ1fPt2YmSLjAFhPBv,Chayanne,9399652.0
